title,0,1,2,3,4,5,6,7,8,9
How I Write 2 Articles Most Mornings Before Work (With Little Effort),0.562806457297329,0.0,0.14420687369510637,0.81325013249674,0.0,0.0,0.0,0.0,0.0,0.03282516104374931
How ChatGPT Works: The Model Behind The Bot,0.3449987198694346,0.0,0.0,0.9325300527691818,0.0,0.031098553267068233,0.029080967540192477,0.0,0.09772799641034377,0.0
I Got Fired From My 9–5 For Having a Medium Account,0.004655419233942237,0.0,0.16939159227014566,0.1267227162957572,0.3859140423477423,0.15444447200379557,0.036176026134994946,0.3913565255037794,0.7821928043536287,0.12707953256506663
"How I Write 480,000 Words a Month and Never Run out of Ideas",0.3626197716250762,0.0,0.8963753826151439,0.2549864205563344,0.0,0.0,0.0,0.0,0.0,0.0
What Makes Me Skip Your Story,0.0,0.0,0.14065089073568582,0.41878199733897387,0.0,0.01506708511760304,0.0,0.0,0.06952854235908995,0.8943029298752839
"To Make Enough Money to Retire Early, Stop Doing These 7 Things",0.2756217780958642,0.0,0.27331979723679867,0.0,0.0,0.025771958860426093,0.0957550414780582,0.0,0.0,0.9162399805977369
The Quiet Routine That Produces 6 Articles a Week Alongside My 9–5,0.09112753639183671,0.02434521685101302,0.9088326438027,0.24448702028020022,0.026512917953367538,0.0,0.0,0.0,0.25947682564475333,0.19318707807629246
"I’m About to Make My Substack Newsletter Paid. If You’re a Writer, You’re Going to Want to Read This.",0.10000589575690445,0.0,0.9705052488982695,0.0,0.0,0.0,0.04419177612882198,0.0,0.0,0.21486151260136657
ChatGPT Is Massively Overhyped. It’s Time We All Calmed Down.,0.0,0.0,0.0,0.0,0.0,0.002528085500677485,0.0,0.0,0.9999968043867445,0.0
The Cheat Code to Building Wealth in Less than 5 Years,0.18648296834371988,0.0,0.6486699685832652,0.30836007885485617,0.0,0.009561175337471008,0.668654754222962,0.046101041921505624,0.0,0.007038015308009073
5 Small Things I Wish I knew When I Was Making $0 on the Internet,0.10736639894116896,0.0,0.38593377959514924,0.5341734130520274,0.13582408540629687,0.0,0.1350804824138988,0.13157860512164798,0.38284401517748357,0.5946502759988866
She Thought Her 2.8 Million Followers Would Make Her Rich Until She Couldn’t Sell 36 T-Shirts,0.0,0.0,0.532898523144963,0.0,0.0,0.03187549253289281,0.12048889475659971,0.0,0.012677235235293037,0.8368541276428196
Why Fiction Writers NEED to Write Short Stories,0.15337223349623297,0.02500908850616303,0.276573333489996,0.34644361098039445,0.0,0.0,0.02851687079144331,0.0,0.8406689847088797,0.2679514234453139
"Forget ChatGPT, Here Are New AI Tools That Will Blow Your Mind",0.16034102187607174,0.0,0.22188619076599997,0.05089483151119428,0.0,0.0,0.0,0.0,0.806308975931808,0.5218551777153673
The Level of Description In Your Fiction,0.0,0.0,0.0,0.9172954606923153,0.0,0.0,0.0,0.0,0.0,0.3982072799350524
Most Writers Sound like Beggars When They Ask Readers to “Support Their Writing”,0.04749887399923021,0.013683563736952007,0.24033243380502006,0.07619860258304177,0.1427234864494101,0.0,0.009127216916879477,0.07741659581762032,0.4942369765669717,0.8144162899224429
5 Quiet Signs of the Top 1% of Creators on the Internet,0.010638858345852124,0.0,0.01702696016680374,0.9991593356945961,0.004646910201316861,0.007526353649945084,0.033868698991351004,0.0072243110300262365,0.0,0.0
"When You Write About People in Your Life, Anticipate Consequences",0.132630939956476,0.0,0.6757825435812758,0.36950968983412297,0.0,0.0,0.0,0.0,0.015774793942987638,0.6236511304822827
It Took 3 Years For Anyone to Notice My Writing. And I’m So Glad It Did.,0.0739733322202818,0.0013389371113956333,0.0,0.1369541599644345,0.020921272598438175,0.0,0.0,0.0,0.981651783139447,0.1081285736892964
7 Passive Income Ideas — How I Earn $350 A Day,0.9263638804000619,0.014953250421493617,0.36720139241171795,0.015230728743079113,0.0,0.0,0.0,0.0,0.08097853854461734,0.0
What Does a Freelance Writer Do All Day?,0.0,0.0,0.6672332606712524,0.0,0.011289310815435208,0.033223113628628904,0.0,0.0,0.7440191262238623,0.0020228319802927503
10 Subtle Strategies I Wish I Knew When I Had 23 Email Subscribers and Made $0 Online,0.41076991332065693,0.04014393897542966,0.7487667529251834,0.24390801783598515,0.1209820441656801,0.0,0.0,0.0,0.3465625217169831,0.27344384168222563
How I Successfully Pitched A Story To The Huffington Post,0.6155822668571426,0.003861490127071847,0.03819493984183742,0.7721648190900293,0.03638617786182121,0.0,0.016478271293177128,0.0,0.022895267397175907,0.14569323842158619
